Title,Year,Rating,Votes,Runtime (Minutes),Revenue (Millions),Metascore,Director
10 Cloverfield Lane,2016,7.2,192968,104,71.9,76.0,Dan Trachtenberg
Finding Dory,2016,7.4,157026,97,486.29,77.0,Andrew Stanton
Miss Peregrine's Home for Peculiar Children,2016,6.7,101058,127,87.24,57.0,Tim Burton
Divergent,2014,6.7,362093,139,150.83,48.0,Neil Burger
Mike and Dave Need Wedding Dates,2016,6.0,53183,98,46.01,51.0,Jake Szymanski
Boyka: Undisputed IV,2016,7.4,10428,86,47.985,59.5,Todor Chapkanov
The Dark Knight Rises,2012,8.5,1222645,164,448.13,78.0,Christopher Nolan
The Jungle Book,2016,7.5,198243,106,364.0,77.0,Jon Favreau
Transformers: Age of Extinction,2014,5.7,255483,165,245.43,32.0,Michael Bay
Nerve,2016,6.6,69651,96,38.56,58.0,Henry Joost
Mamma Mia!,2008,6.4,153481,108,143.7,51.0,Phyllida Lloyd
The Revenant,2015,8.0,499424,156,183.64,76.0,Alejandro González Iñárritu
Fences,2016,7.3,50953,139,57.64,79.0,Denzel Washington
Into the Woods,2014,6.0,109756,125,128.0,69.0,Rob Marshall
The Shallows,2016,6.4,78328,86,55.12,59.0,Jaume Collet-Serra
Whiplash,2014,8.5,477276,107,13.09,88.0,Damien Chazelle
Furious 6,2013,7.1,318051,130,238.67,61.0,Justin Lin
The Place Beyond the Pines,2012,7.3,200090,140,21.38,68.0,Derek Cianfrance
No Country for Old Men,2007,8.1,660286,122,74.27,91.0,Ethan Coen
The Great Gatsby,2013,7.3,386102,143,144.81,55.0,Baz Luhrmann
Shutter Island,2010,8.1,855604,138,127.97,63.0,Martin Scorsese
Brimstone,2016,7.1,13004,148,47.985,44.0,Martin Koolhoven
Star Trek,2009,8.0,526324,127,257.7,82.0,J.J. Abrams
Diary of a Wimpy Kid,2010,6.2,34184,94,64.0,56.0,Thor Freudenthal
The Big Short,2015,7.8,246360,130,70.24,81.0,Adam McKay
Room,2015,8.2,224132,118,14.68,86.0,Lenny Abrahamson
Django Unchained,2012,8.4,1039115,165,162.8,81.0,Quentin Tarantino
Ah-ga-ssi,2016,8.1,33418,144,2.01,84.0,Chan-wook Park
The Edge of Seventeen,2016,7.4,47694,104,14.26,77.0,Kelly Fremon Craig
Watchmen,2009,7.6,410249,162,107.5,56.0,Zack Snyder
Superbad,2007,7.6,442082,113,121.46,76.0,Greg Mottola
Inferno,2016,6.2,97623,121,34.26,42.0,Ron Howard
The BFG,2016,6.4,50853,117,55.47,66.0,Steven Spielberg
The Hunger Games,2012,7.2,735604,142,408.0,68.0,Gary Ross
White Girl,2016,5.8,4299,88,0.2,65.0,Elizabeth Wood
Sicario,2015,7.6,243230,121,46.88,82.0,Denis Villeneuve
Twin Peaks: The Missing Pieces,2014,8.1,1973,91,47.985,59.5,David Lynch
Aliens vs Predator - Requiem,2007,4.7,97618,94,41.8,29.0,Colin Strause
Pacific Rim,2013,7.0,400519,131,101.79,64.0,Guillermo del Toro
"Crazy, Stupid, Love.",2011,7.4,396714,118,84.24,68.0,Glenn Ficarra
Scott Pilgrim vs. the World,2010,7.5,291457,112,31.49,69.0,Edgar Wright
Hot Fuzz,2007,7.9,373244,121,23.62,81.0,Edgar Wright
Mine,2016,6.0,5926,106,47.985,40.0,Fabio Guaglione
Free Fire,2016,7.0,6946,90,1.8,63.0,Ben Wheatley
X-Men: Days of Future Past,2014,8.0,552298,132,233.91,74.0,Bryan Singer
Jack Reacher: Never Go Back,2016,6.1,78043,118,58.4,47.0,Edward Zwick
Casino Royale,2006,8.0,495106,144,167.01,80.0,Martin Campbell
Twilight,2008,5.2,361449,122,191.45,56.0,Catherine Hardwicke
Now You See Me 2,2016,6.5,156567,129,65.03,46.0,Jon M. Chu
Woman in Gold,2015,7.3,39723,109,33.31,51.0,Simon Curtis
13 Hours,2016,7.3,76935,144,52.82,48.0,Michael Bay
Spectre,2015,6.8,308981,148,200.07,60.0,Sam Mendes
Nightcrawler,2014,7.9,332476,118,32.28,76.0,Dan Gilroy
Kubo and the Two Strings,2016,7.9,72778,101,48.02,84.0,Travis Knight
Beyond the Gates,2016,5.2,2127,84,47.985,59.0,Jackson Stewart
Her,2013,8.0,390531,126,25.56,90.0,Spike Jonze
Frozen,2013,7.5,451894,102,400.74,74.0,Chris Buck
Tomorrowland,2015,6.5,143069,130,93.42,60.0,Brad Bird
Dawn of the Planet of the Apes,2014,7.6,337777,130,208.54,79.0,Matt Reeves
Tropic Thunder,2008,7.0,321442,107,110.42,71.0,Ben Stiller
The Conjuring 2,2016,7.4,137203,134,102.46,65.0,James Wan
Ant-Man,2015,7.3,368912,117,180.19,64.0,Peyton Reed
Bridget Jones's Baby,2016,6.7,43086,118,24.09,59.0,Sharon Maguire
The VVitch: A New-England Folktale,2015,6.8,101781,92,25.14,83.0,Robert Eggers
Cinderella,2015,7.0,117018,105,201.15,67.0,Kenneth Branagh
Realive,2016,5.9,1176,112,47.985,59.5,Mateo Gil
Forushande,2016,8.0,22389,124,3.4,85.0,Asghar Farhadi
Love,2015,6.0,24003,135,47.985,51.0,Gaspar Noé
Billy Lynn's Long Halftime Walk,2016,6.3,11944,113,1.72,53.0,Ang Lee
Crimson Peak,2015,6.6,97454,119,31.06,66.0,Guillermo del Toro
Drive,2011,7.8,461509,100,35.05,78.0,Nicolas Winding Refn
Trainwreck,2015,6.3,106364,125,110.01,75.0,Judd Apatow
The Light Between Oceans,2016,7.2,27382,133,12.53,60.0,Derek Cianfrance
Below Her Mouth,2016,5.6,1445,94,47.985,42.0,April Mullen
Spotlight,2015,8.1,268282,128,44.99,93.0,Tom McCarthy
Morgan,2016,5.8,22107,92,3.91,48.0,Luke Scott
Warrior,2011,8.2,355722,140,13.65,71.0,Gavin O'Connor
Captain America: The First Avenger,2011,6.9,547368,124,176.64,66.0,Joe Johnston
Hacker,2016,6.3,3799,95,47.985,59.5,Akan Satayev
Into the Wild,2007,8.1,459304,148,18.35,73.0,Sean Penn
The Imitation Game,2014,8.1,532353,114,91.12,73.0,Morten Tyldum
Central Intelligence,2016,6.3,97082,107,127.38,52.0,Rawson Marshall Thurber
Edge of Tomorrow,2014,7.9,471815,113,100.19,71.0,Doug Liman
A Cure for Wellness,2016,6.5,12193,146,8.1,47.0,Gore Verbinski
Snowden,2016,7.3,79855,134,21.48,58.0,Oliver Stone
Iron Man,2008,7.9,737719,126,318.3,79.0,Jon Favreau
Allegiant,2016,5.7,70504,120,66.0,33.0,Robert Schwentke
X: First Class,2011,7.8,550011,132,146.41,65.0,Matthew Vaughn
Raw (II),2016,7.5,5435,99,0.51,81.0,Julia Ducournau
Paterson,2016,7.5,26089,118,2.14,90.0,Jim Jarmusch
Bridesmaids,2011,6.8,227912,125,169.08,75.0,Paul Feig
The Girl with All the Gifts,2016,6.7,23713,111,47.985,67.0,Colm McCarthy
San Andreas,2015,6.1,161396,114,155.18,43.0,Brad Peyton
Spring Breakers,2012,5.3,114290,94,14.12,63.0,Harmony Korine
Transformers,2007,7.1,531112,144,318.76,61.0,Michael Bay
Old Boy,2013,5.8,54679,104,47.985,49.0,Spike Lee
Thor: The Dark World,2013,7.0,443584,112,206.36,54.0,Alan Taylor
Gods of Egypt,2016,5.5,73568,126,31.14,25.0,Alex Proyas
Captain America: The Winter Soldier,2014,7.8,542362,136,259.75,70.0,Anthony Russo
Monster Trucks,2016,5.7,7044,104,33.04,41.0,Chris Wedge
A Dark Song,2016,6.1,1703,100,47.985,67.0,Liam Gavin
Kick-Ass,2010,7.7,456749,117,48.04,66.0,Matthew Vaughn
Hardcore Henry,2015,6.7,61098,96,9.24,51.0,Ilya Naishuller
Cars,2006,7.1,283445,117,244.05,73.0,John Lasseter
It Follows,2014,6.9,136399,100,14.67,83.0,David Robert Mitchell
The Girl with the Dragon Tattoo,2011,7.8,348551,158,102.52,71.0,David Fincher
We're the Millers,2013,7.0,334867,110,150.37,44.0,Rawson Marshall Thurber
American Honey,2016,7.0,19660,163,0.66,79.0,Andrea Arnold
The Lobster,2015,7.1,121313,119,8.7,82.0,Yorgos Lanthimos
Predators,2010,6.4,179450,107,52.0,51.0,Nimród Antal
Maleficent,2014,7.0,268877,97,241.41,56.0,Robert Stromberg
Rupture,2016,4.8,2382,102,47.985,35.0,Steven Shainberg
Pan's Labyrinth,2006,8.2,498879,118,37.62,98.0,Guillermo del Toro
A Kind of Murder,2016,5.2,3305,95,0.0,50.0,Andy Goddard
Apocalypto,2006,7.8,247926,139,50.86,68.0,Mel Gibson
Mission: Impossible - Rogue Nation,2015,7.4,257472,131,195.0,75.0,Christopher McQuarrie
The Huntsman: Winter's War,2016,6.1,66766,114,47.95,35.0,Cedric Nicolas-Troyan
The Perks of Being a Wallflower,2012,8.0,377336,102,17.74,67.0,Stephen Chbosky
Jackie,2016,6.8,41446,100,13.96,81.0,Pablo Larraín
The Disappointments Room,2016,3.9,4895,85,2.41,31.0,D.J. Caruso
The Grand Budapest Hotel,2014,8.1,530881,99,59.07,88.0,Wes Anderson
The Host,2013,5.9,96852,125,26.62,35.0,Andrew Niccol
Fury,2014,7.6,332234,134,85.71,64.0,David Ayer
Inside Out,2015,8.2,416689,95,356.45,94.0,Pete Docter
Rock Dog,2016,5.8,1109,90,9.4,48.0,Ash Brannon
Terminator Genisys,2015,6.5,205365,126,89.73,38.0,Alan Taylor
Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,148949,118,88.76,47.0,Chris Columbus
Les Misérables,2012,7.6,257426,158,148.78,63.0,Tom Hooper
Children of Men,2006,7.9,382910,109,35.29,84.0,Alfonso Cuarón
20th Century Women,2016,7.4,14708,119,5.66,83.0,Mike Mills
Spy,2015,7.1,188017,119,110.82,75.0,Paul Feig
The Intouchables,2011,8.6,557965,112,13.18,57.0,Olivier Nakache
Bonjour Anne,2016,4.9,178,92,0.32,50.0,Eleanor Coppola
Kynodontas,2009,7.3,50946,94,0.11,73.0,Yorgos Lanthimos
Straight Outta Compton,2015,7.9,139831,147,161.03,72.0,F. Gary Gray
The Amazing Spider-Man 2,2014,6.7,342183,142,202.85,53.0,Marc Webb
The Conjuring,2013,7.5,330305,112,137.39,68.0,James Wan
The Hangover,2009,7.8,611563,100,277.31,73.0,Todd Phillips
Battleship,2012,5.8,210349,131,65.17,41.0,Peter Berg
Rise of the Planet of the Apes,2011,7.6,422290,105,176.74,68.0,Rupert Wyatt
Lights Out,2016,6.4,69823,81,67.24,58.0,David F. Sandberg
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,7.1,664,118,2.27,76.0,Joseph Cedar
Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,440299,119,42.34,88.0,Alejandro González Iñárritu
Black Swan,2010,8.0,581518,108,106.95,79.0,Darren Aronofsky
Dear White People,2014,6.2,21715,108,4.4,79.0,Justin Simien
Nymphomaniac: Vol. I,2013,7.0,90556,117,0.79,64.0,Lars von Trier
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,59312,112,0.54,40.0,Dave Green
Knock Knock,2015,4.9,53441,99,0.03,53.0,Eli Roth
Dirty Grandpa,2016,6.0,75137,102,35.54,18.0,Dan Mazer
Cloud Atlas,2012,7.5,298651,172,27.1,55.0,Tom Tykwer
X-Men Origins: Wolverine,2009,6.7,388447,107,179.88,40.0,Gavin Hood
Satanic,2016,3.7,2384,85,47.985,59.5,Jeffrey G. Hunt
Skyfall,2012,7.8,547386,143,304.36,81.0,Sam Mendes
The Hobbit: An Unexpected Journey,2012,7.9,668651,169,303.0,58.0,Peter Jackson
21 Jump Street,2012,7.2,432046,110,138.45,69.0,Phil Lord
Sing Street,2016,8.0,52144,106,3.23,79.0,John Carney
Ballerina,2016,6.8,4729,89,47.985,59.5,Eric Summer
Oblivion,2013,7.0,410125,124,89.02,54.0,Joseph Kosinski
22 Jump Street,2014,7.1,280110,112,191.62,71.0,Phil Lord
Zodiac,2007,7.7,329683,157,33.05,78.0,David Fincher
Everybody Wants Some!!,2016,7.0,36312,117,3.37,83.0,Richard Linklater
Iron Man Three,2013,7.2,591023,130,408.99,62.0,Shane Black
Now You See Me,2013,7.3,492324,115,117.7,50.0,Louis Leterrier
Sherlock Holmes,2009,7.6,501769,128,209.02,57.0,Guy Ritchie
Death Proof,2007,7.1,220236,113,47.985,59.5,Quentin Tarantino
The Danish Girl,2015,7.0,110773,119,12.71,66.0,Tom Hooper
Hercules,2014,6.0,122838,98,72.66,47.0,Brett Ratner
Sucker Punch,2011,6.1,204874,110,36.38,33.0,Zack Snyder
Keeping Up with the Joneses,2016,5.8,30405,105,14.9,34.0,Greg Mottola
Jupiter Ascending,2015,5.3,150121,127,47.38,40.0,Lana Wachowski
Masterminds,2016,5.8,26508,95,17.36,47.0,Jared Hess
Iris,2016,6.1,726,99,47.985,59.5,Jalil Lespert
Busanhaeng,2016,7.5,58782,118,2.13,72.0,Sang-ho Yeon
Pitch Perfect,2012,7.2,226631,112,65.0,66.0,Jason Moore
Neighbors 2: Sorority Rising,2016,5.7,76327,92,55.29,58.0,Nicholas Stoller
The Exception,2016,7.7,96,107,47.985,59.5,David Leveaux
Man of Steel,2013,7.1,577010,143,291.02,55.0,Zack Snyder
The Choice,2016,6.6,20514,111,18.71,26.0,Ross Katz
Ice Age: Collision Course,2016,5.7,34523,94,64.06,34.0,Mike Thurmeier
The Devil Wears Prada,2006,6.8,302268,109,124.73,62.0,David Frankel
The Infiltrator,2016,7.1,43929,127,15.43,66.0,Brad Furman
There Will Be Blood,2007,8.1,400682,158,40.22,92.0,Paul Thomas Anderson
The Equalizer,2014,7.2,249425,132,101.53,57.0,Antoine Fuqua
Lone Survivor,2013,7.5,218996,121,125.07,60.0,Peter Berg
The Cabin in the Woods,2012,7.0,295554,95,42.04,72.0,Drew Goddard
The House Bunny,2008,5.5,67033,97,48.24,55.0,Fred Wolf
She's Out of My League,2010,6.4,105619,104,31.58,46.0,Jim Field Smith
Inherent Vice,2014,6.7,69509,148,8.09,81.0,Paul Thomas Anderson
Alice Through the Looking Glass,2016,6.2,57207,113,77.04,34.0,James Bobin
Vincent N Roxxy,2016,5.5,403,110,47.985,59.5,Gary Michael Schultz
The Fast and the Furious: Tokyo Drift,2006,6.0,193479,104,62.49,45.0,Justin Lin
How to Be Single,2016,6.1,59886,110,46.81,51.0,Christian Ditter
The Blind Side,2009,7.7,237221,129,255.95,53.0,John Lee Hancock
La vie d'Adèle,2013,7.8,103150,180,2.2,88.0,Abdellatif Kechiche
The Babadook,2014,6.8,132580,93,0.92,86.0,Jennifer Kent
The Hobbit: The Battle of the Five Armies,2014,7.4,385598,144,255.11,59.0,Peter Jackson
Harry Potter and the Order of the Phoenix,2007,7.5,385325,138,292.0,71.0,David Yates
Snowpiercer,2013,7.0,199048,126,4.56,84.0,Bong Joon Ho
The 5th Wave,2016,5.2,73093,112,34.91,33.0,J Blakeson
The Stakelander,2016,5.3,1263,81,47.985,59.5,Dan Berk
The Visit,2015,6.2,81429,94,65.07,55.0,M. Night Shyamalan
Fast Five,2011,7.3,300803,131,209.81,66.0,Justin Lin
Step Up,2006,6.5,95960,104,65.27,48.0,Anne Fletcher
Lovesong,2016,6.4,616,84,0.01,74.0,So Yong Kim
RocknRolla,2008,7.3,203096,114,5.69,53.0,Guy Ritchie
In Time,2011,6.7,319025,109,37.55,53.0,Andrew Niccol
The Social Network,2010,7.7,510100,120,96.92,95.0,David Fincher
The Last Witch Hunter,2015,6.0,71149,106,27.36,34.0,Breck Eisner
Victor Frankenstein,2015,6.0,37975,110,5.77,36.0,Paul McGuigan
A Street Cat Named Bob,2016,7.4,12643,103,0.04,54.0,Roger Spottiswoode
Green Room,2015,7.0,62885,95,3.22,79.0,Jeremy Saulnier
Blackhat,2015,5.4,43085,133,7.1,51.0,Michael Mann
Storks,2016,6.9,34248,87,72.66,56.0,Nicholas Stoller
American Sniper,2014,7.3,353305,133,350.12,72.0,Clint Eastwood
Dallas Buyers Club,2013,8.0,352801,117,27.3,84.0,Jean-Marc Vallée
Lincoln,2012,7.4,207497,150,182.2,86.0,Steven Spielberg
Rush,2013,8.1,339722,123,26.9,75.0,Ron Howard
Before I Wake,2016,6.1,18201,97,47.985,59.5,Mike Flanagan
Silver Linings Playbook,2012,7.8,564364,122,132.09,81.0,David O. Russell
Tracktown,2016,5.9,115,88,47.985,64.0,Alexi Pappas
The Fault in Our Stars,2014,7.8,271301,126,124.87,69.0,Josh Boone
Blended,2014,6.5,93764,117,46.28,31.0,Frank Coraci
Fast & Furious,2009,6.6,217464,107,155.02,46.0,Justin Lin
Looper,2012,7.4,452369,119,66.47,84.0,Rian Johnson
White House Down,2013,6.4,173320,131,73.1,52.0,Roland Emmerich
Pete's Dragon,2016,6.8,36322,102,76.2,71.0,David Lowery
Spider-Man 3,2007,6.2,406219,139,336.53,59.0,Sam Raimi
The Three Musketeers,2011,5.8,92329,110,20.32,35.0,Paul W.S. Anderson
Stardust,2007,7.7,220664,127,38.35,66.0,Matthew Vaughn
American Hustle,2013,7.3,379088,138,150.12,90.0,David O. Russell
Jennifer's Body,2009,5.1,96617,102,16.2,47.0,Karyn Kusama
Midnight in Paris,2011,7.7,320323,94,56.82,81.0,Woody Allen
Lady Macbeth,2016,7.3,1396,89,47.985,83.0,William Oldroyd
Joy,2015,6.6,97679,124,56.44,56.0,David O. Russell
The Dressmaker,2015,7.1,33352,119,2.02,47.0,Jocelyn Moorhouse
Café Society,2016,6.7,45579,96,11.08,64.0,Woody Allen
Insurgent,2015,6.3,171970,119,130.0,42.0,Robert Schwentke
Seventh Son,2014,5.5,59958,102,17.18,30.0,Sergei Bodrov
Demain tout commence,2016,7.4,5496,118,47.985,59.5,Hugo Gélin
The Theory of Everything,2014,7.7,299718,123,35.89,72.0,James Marsh
This Is the End,2013,6.6,327838,107,101.47,67.0,Evan Goldberg
About Time,2013,7.8,221600,123,15.29,55.0,Richard Curtis
Step Brothers,2008,6.9,223065,98,100.47,51.0,Adam McKay
Clown,2014,5.7,14248,100,0.05,42.0,Jon Watts
Star Trek Into Darkness,2013,7.8,417663,132,228.76,72.0,J.J. Abrams
Zombieland,2009,7.7,409403,88,75.59,73.0,Ruben Fleischer
"Hail, Caesar!",2016,6.3,89059,106,30.0,72.0,Ethan Coen
Slumdog Millionaire,2008,8.0,677044,120,141.32,86.0,Danny Boyle
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,194329,115,292.3,52.0,Bill Condon
American Wrestler: The Wizard,2016,6.9,286,117,47.985,59.5,Alex Ranarivelo
The Amazing Spider-Man,2012,7.0,474320,136,262.03,66.0,Marc Webb
Ben-Hur,2016,5.7,28326,123,26.38,38.0,Timur Bekmambetov
Sleight,2016,6.0,702,89,3.85,62.0,J.D. Dillard
The Maze Runner,2014,6.8,335531,113,102.41,57.0,Wes Ball
Criminal,2016,6.3,38430,113,14.27,36.0,Ariel Vromen
Wanted,2008,6.7,312495,110,134.57,64.0,Timur Bekmambetov
Florence Foster Jenkins,2016,6.9,31776,111,27.37,71.0,Stephen Frears
Collide,2016,5.7,7583,99,2.2,33.0,Eran Creevy
