Title,Genre,Rating,Revenue (Millions),Metascore
Paris pieds nus,Comedy,6.8,47.985,59.5
Bahubali: The Beginning,Action,8.3,6.5,59.5
Bahubali: The Beginning,Adventure,8.3,6.5,59.5
Bahubali: The Beginning,Drama,8.3,6.5,59.5
Dead Awake,Horror,4.7,0.01,59.5
Dead Awake,Thriller,4.7,0.01,59.5
Bad Moms,Comedy,6.2,113.08,60.0
Assassin's Creed,Action,5.9,54.65,36.0
Assassin's Creed,Adventure,5.9,54.65,36.0
Assassin's Creed,Drama,5.9,54.65,36.0
Why Him?,Comedy,6.3,60.31,39.0
Nocturnal Animals,Drama,7.5,10.64,67.0
Nocturnal Animals,Thriller,7.5,10.64,67.0
X-Men: Apocalypse,Action,7.1,155.33,52.0
X-Men: Apocalypse,Adventure,7.1,155.33,52.0
X-Men: Apocalypse,Sci-Fi,7.1,155.33,52.0
Deadpool,Action,8.0,363.02,65.0
Deadpool,Adventure,8.0,363.02,65.0
Deadpool,Comedy,8.0,363.02,65.0
Resident Evil: The Final Chapter,Action,5.6,26.84,49.0
Resident Evil: The Final Chapter,Horror,5.6,26.84,49.0
Resident Evil: The Final Chapter,Sci-Fi,5.6,26.84,49.0
Captain America: Civil War,Action,7.9,408.08,75.0
Captain America: Civil War,Adventure,7.9,408.08,75.0
Captain America: Civil War,Sci-Fi,7.9,408.08,75.0
Interstellar,Adventure,8.6,187.99,74.0
Interstellar,Drama,8.6,187.99,74.0
Interstellar,Sci-Fi,8.6,187.99,74.0
Doctor Strange,Action,7.6,232.6,72.0
Doctor Strange,Adventure,7.6,232.6,72.0
Doctor Strange,Fantasy,7.6,232.6,72.0
The Magnificent Seven,Action,6.9,93.38,54.0
The Magnificent Seven,Adventure,6.9,93.38,54.0
The Magnificent Seven,Western,6.9,93.38,54.0
5- 25- 77,Comedy,7.1,47.985,59.5
5- 25- 77,Drama,7.1,47.985,59.5
Sausage Party,Animation,6.3,97.66,66.0
Sausage Party,Adventure,6.3,97.66,66.0
Sausage Party,Comedy,6.3,97.66,66.0
Moonlight,Drama,7.5,27.85,99.0
Don't Fuck in the Woods,Horror,2.7,47.985,59.5
The Founder,Biography,7.2,12.79,66.0
The Founder,Drama,7.2,12.79,66.0
The Founder,History,7.2,12.79,66.0
Lowriders,Drama,6.3,4.21,57.0
Pirates of the Caribbean: On Stranger Tides,Action,6.7,241.06,45.0
Pirates of the Caribbean: On Stranger Tides,Adventure,6.7,241.06,45.0
Pirates of the Caribbean: On Stranger Tides,Fantasy,6.7,241.06,45.0
Miss Sloane,Drama,7.3,3.44,64.0
Miss Sloane,Thriller,7.3,3.44,64.0
Fallen,Adventure,5.6,47.985,59.5
Fallen,Drama,5.6,47.985,59.5
Fallen,Fantasy,5.6,47.985,59.5
Star Trek Beyond,Action,7.1,158.8,68.0
Star Trek Beyond,Adventure,7.1,158.8,68.0
Star Trek Beyond,Sci-Fi,7.1,158.8,68.0
The Last Face,Drama,3.7,47.985,16.0
Star Wars: Episode VII - The Force Awakens,Action,8.1,936.63,81.0
Star Wars: Episode VII - The Force Awakens,Adventure,8.1,936.63,81.0
Star Wars: Episode VII - The Force Awakens,Fantasy,8.1,936.63,81.0
Underworld: Blood Wars,Action,5.8,30.35,23.0
Underworld: Blood Wars,Adventure,5.8,30.35,23.0
Underworld: Blood Wars,Fantasy,5.8,30.35,23.0
Mother's Day,Comedy,5.6,32.46,18.0
Mother's Day,Drama,5.6,32.46,18.0
John Wick,Action,7.2,43.0,68.0
John Wick,Crime,7.2,43.0,68.0
John Wick,Thriller,7.2,43.0,68.0
The Dark Knight,Action,9.0,533.32,82.0
The Dark Knight,Crime,9.0,533.32,82.0
The Dark Knight,Drama,9.0,533.32,82.0
Silence,Adventure,7.3,7.08,79.0
Silence,Drama,7.3,7.08,79.0
Silence,History,7.3,7.08,79.0
Don't Breathe,Crime,7.2,89.21,71.0
Don't Breathe,Horror,7.2,89.21,71.0
Don't Breathe,Thriller,7.2,89.21,71.0
Me Before You,Drama,7.4,56.23,51.0
Me Before You,Romance,7.4,56.23,51.0
Their Finest,Comedy,7.0,3.18,76.0
Their Finest,Drama,7.0,3.18,76.0
Their Finest,Romance,7.0,3.18,76.0
Sully,Biography,7.5,125.07,74.0
Sully,Drama,7.5,125.07,74.0
Batman v Superman: Dawn of Justice,Action,6.7,330.25,44.0
Batman v Superman: Dawn of Justice,Adventure,6.7,330.25,44.0
Batman v Superman: Dawn of Justice,Sci-Fi,6.7,330.25,44.0
The Autopsy of Jane Doe,Horror,6.8,47.985,65.0
The Autopsy of Jane Doe,Mystery,6.8,47.985,65.0
The Autopsy of Jane Doe,Thriller,6.8,47.985,65.0
The Girl on the Train,Crime,6.5,75.31,48.0
The Girl on the Train,Drama,6.5,75.31,48.0
The Girl on the Train,Mystery,6.5,75.31,48.0
Fifty Shades of Grey,Drama,4.1,166.15,46.0
Fifty Shades of Grey,Romance,4.1,166.15,46.0
Fifty Shades of Grey,Thriller,4.1,166.15,46.0
The Prestige,Drama,8.5,53.08,66.0
The Prestige,Mystery,8.5,53.08,66.0
The Prestige,Sci-Fi,8.5,53.08,66.0
Kingsman: The Secret Service,Action,7.7,128.25,58.0
Kingsman: The Secret Service,Adventure,7.7,128.25,58.0
Kingsman: The Secret Service,Comedy,7.7,128.25,58.0
Patriots Day,Drama,7.4,31.86,69.0
Patriots Day,History,7.4,31.86,69.0
Patriots Day,Thriller,7.4,31.86,69.0
Mad Max: Fury Road,Action,8.1,153.63,90.0
Mad Max: Fury Road,Adventure,8.1,153.63,90.0
Mad Max: Fury Road,Sci-Fi,8.1,153.63,90.0
Wakefield,Drama,7.5,0.01,61.0
Deepwater Horizon,Action,7.2,61.28,68.0
Deepwater Horizon,Drama,7.2,61.28,68.0
Deepwater Horizon,Thriller,7.2,61.28,68.0
The Promise,Drama,5.9,47.985,49.0
The Promise,History,5.9,47.985,49.0
Allied,Action,7.1,40.07,60.0
Allied,Drama,7.1,40.07,60.0
Allied,Romance,7.1,40.07,60.0
A Monster Calls,Drama,7.5,3.73,76.0
A Monster Calls,Fantasy,7.5,3.73,76.0
Collateral Beauty,Drama,6.8,30.98,23.0
Collateral Beauty,Romance,6.8,30.98,23.0
Zootopia,Animation,8.1,341.26,78.0
Zootopia,Adventure,8.1,341.26,78.0
Zootopia,Comedy,8.1,341.26,78.0
Pirates of the Caribbean: At World's End,Action,7.1,309.4,50.0
Pirates of the Caribbean: At World's End,Adventure,7.1,309.4,50.0
Pirates of the Caribbean: At World's End,Fantasy,7.1,309.4,50.0
The Avengers,Action,8.1,623.28,69.0
The Avengers,Sci-Fi,8.1,623.28,69.0
Inglourious Basterds,Adventure,8.3,120.52,69.0
Inglourious Basterds,Drama,8.3,120.52,69.0
Inglourious Basterds,War,8.3,120.52,69.0
Pirates of the Caribbean: Dead Man's Chest,Action,7.3,423.03,53.0
Pirates of the Caribbean: Dead Man's Chest,Adventure,7.3,423.03,53.0
Pirates of the Caribbean: Dead Man's Chest,Fantasy,7.3,423.03,53.0
Ghostbusters,Action,5.3,128.34,60.0
Ghostbusters,Comedy,5.3,128.34,60.0
Ghostbusters,Fantasy,5.3,128.34,60.0
Inception,Action,8.8,292.57,74.0
Inception,Adventure,8.8,292.57,74.0
Inception,Sci-Fi,8.8,292.57,74.0
Captain Fantastic,Comedy,7.9,5.88,72.0
Captain Fantastic,Drama,7.9,5.88,72.0
The Wolf of Wall Street,Biography,8.2,116.87,75.0
The Wolf of Wall Street,Comedy,8.2,116.87,75.0
The Wolf of Wall Street,Crime,8.2,116.87,75.0
Gone Girl,Crime,8.1,167.74,79.0
Gone Girl,Drama,8.1,167.74,79.0
Gone Girl,Mystery,8.1,167.74,79.0
Furious Seven,Action,7.2,350.03,67.0
Furious Seven,Crime,7.2,350.03,67.0
Furious Seven,Thriller,7.2,350.03,67.0
Jurassic World,Action,7.0,652.18,59.0
Jurassic World,Adventure,7.0,652.18,59.0
Jurassic World,Sci-Fi,7.0,652.18,59.0
Live by Night,Crime,6.4,10.38,49.0
Live by Night,Drama,6.4,10.38,49.0
Avatar,Action,7.8,760.51,83.0
Avatar,Adventure,7.8,760.51,83.0
Avatar,Fantasy,7.8,760.51,83.0
The Hateful Eight,Crime,7.8,54.12,68.0
The Hateful Eight,Drama,7.8,54.12,68.0
The Hateful Eight,Mystery,7.8,54.12,68.0
The Accountant,Action,7.4,86.2,51.0
The Accountant,Crime,7.4,86.2,51.0
The Accountant,Drama,7.4,86.2,51.0
Prisoners,Crime,8.1,60.96,74.0
Prisoners,Drama,8.1,60.96,74.0
Prisoners,Mystery,8.1,60.96,74.0
Warcraft,Action,7.0,47.17,32.0
Warcraft,Adventure,7.0,47.17,32.0
Warcraft,Fantasy,7.0,47.17,32.0
The Help,Drama,8.1,169.71,62.0
War Dogs,Comedy,7.1,43.02,57.0
War Dogs,Crime,7.1,43.02,57.0
War Dogs,Drama,7.1,43.02,57.0
Avengers: Age of Ultron,Action,7.4,458.99,66.0
Avengers: Age of Ultron,Adventure,7.4,458.99,66.0
Avengers: Age of Ultron,Sci-Fi,7.4,458.99,66.0
The Nice Guys,Action,7.4,36.25,70.0
The Nice Guys,Comedy,7.4,36.25,70.0
The Nice Guys,Crime,7.4,36.25,70.0
Kimi no na wa,Animation,8.6,4.68,79.0
Kimi no na wa,Drama,8.6,4.68,79.0
Kimi no na wa,Fantasy,8.6,4.68,79.0
The Void,Horror,5.8,0.15,62.0
The Void,Mystery,5.8,0.15,62.0
The Void,Sci-Fi,5.8,0.15,62.0
Personal Shopper,Drama,6.3,1.29,77.0
Personal Shopper,Mystery,6.3,1.29,77.0
Personal Shopper,Thriller,6.3,1.29,77.0
The Departed,Crime,8.5,132.37,85.0
The Departed,Drama,8.5,132.37,85.0
The Departed,Thriller,8.5,132.37,85.0
Legend,Biography,7.0,1.87,55.0
Legend,Crime,7.0,1.87,55.0
Legend,Drama,7.0,1.87,55.0
Thor,Action,7.0,181.02,57.0
Thor,Adventure,7.0,181.02,57.0
Thor,Fantasy,7.0,181.02,57.0
The Martian,Adventure,8.0,228.43,80.0
The Martian,Drama,8.0,228.43,80.0
The Martian,Sci-Fi,8.0,228.43,80.0
Contratiempo,Crime,7.9,47.985,59.5
Contratiempo,Mystery,7.9,47.985,59.5
Contratiempo,Thriller,7.9,47.985,59.5
The Man from U.N.C.L.E.,Action,7.3,45.43,56.0
The Man from U.N.C.L.E.,Adventure,7.3,45.43,56.0
The Man from U.N.C.L.E.,Comedy,7.3,45.43,56.0
Hell or High Water,Crime,7.7,26.86,88.0
Hell or High Water,Drama,7.7,26.86,88.0
Hell or High Water,Thriller,7.7,26.86,88.0
The Comedian,Comedy,5.4,1.66,40.0
The Legend of Tarzan,Action,6.3,126.59,44.0
The Legend of Tarzan,Adventure,6.3,126.59,44.0
The Legend of Tarzan,Drama,6.3,126.59,44.0
All We Had,Drama,5.8,47.985,48.0
Ex Machina,Drama,7.7,25.44,78.0
Ex Machina,Mystery,7.7,25.44,78.0
Ex Machina,Sci-Fi,7.7,25.44,78.0
The Belko Experiment,Action,6.3,10.16,44.0
The Belko Experiment,Horror,6.3,10.16,44.0
The Belko Experiment,Thriller,6.3,10.16,44.0
12 Years a Slave,Biography,8.1,56.67,96.0
12 Years a Slave,Drama,8.1,56.67,96.0
12 Years a Slave,History,8.1,56.67,96.0
The Bad Batch,Romance,6.1,47.985,65.0
The Bad Batch,Sci-Fi,6.1,47.985,65.0
300,Action,7.7,210.59,52.0
300,Fantasy,7.7,210.59,52.0
300,War,7.7,210.59,52.0
Harry Potter and the Deathly Hallows: Part 2,Adventure,8.1,380.96,87.0
Harry Potter and the Deathly Hallows: Part 2,Drama,8.1,380.96,87.0
Harry Potter and the Deathly Hallows: Part 2,Fantasy,8.1,380.96,87.0
Office Christmas Party,Comedy,5.8,54.73,42.0
The Neon Demon,Horror,6.2,1.33,51.0
The Neon Demon,Thriller,6.2,1.33,51.0
Dangal,Action,8.8,11.15,59.5
Dangal,Biography,8.8,11.15,59.5
Dangal,Drama,8.8,11.15,59.5
10 Cloverfield Lane,Drama,7.2,71.9,76.0
10 Cloverfield Lane,Horror,7.2,71.9,76.0
10 Cloverfield Lane,Mystery,7.2,71.9,76.0
Finding Dory,Animation,7.4,486.29,77.0
Finding Dory,Adventure,7.4,486.29,77.0
Finding Dory,Comedy,7.4,486.29,77.0
Miss Peregrine's Home for Peculiar Children,Adventure,6.7,87.24,57.0
Miss Peregrine's Home for Peculiar Children,Drama,6.7,87.24,57.0
Miss Peregrine's Home for Peculiar Children,Family,6.7,87.24,57.0
Divergent,Adventure,6.7,150.83,48.0
Divergent,Mystery,6.7,150.83,48.0
Divergent,Sci-Fi,6.7,150.83,48.0
Mike and Dave Need Wedding Dates,Adventure,6.0,46.01,51.0
Mike and Dave Need Wedding Dates,Comedy,6.0,46.01,51.0
Mike and Dave Need Wedding Dates,Romance,6.0,46.01,51.0
Boyka: Undisputed IV,Action,7.4,47.985,59.5
The Dark Knight Rises,Action,8.5,448.13,78.0
The Dark Knight Rises,Thriller,8.5,448.13,78.0
The Jungle Book,Adventure,7.5,364.0,77.0
The Jungle Book,Drama,7.5,364.0,77.0
The Jungle Book,Family,7.5,364.0,77.0
Transformers: Age of Extinction,Action,5.7,245.43,32.0
Transformers: Age of Extinction,Adventure,5.7,245.43,32.0
Transformers: Age of Extinction,Sci-Fi,5.7,245.43,32.0
Nerve,Adventure,6.6,38.56,58.0
Nerve,Crime,6.6,38.56,58.0
Nerve,Mystery,6.6,38.56,58.0
Mamma Mia!,Comedy,6.4,143.7,51.0
Mamma Mia!,Family,6.4,143.7,51.0
Mamma Mia!,Musical,6.4,143.7,51.0
The Revenant,Adventure,8.0,183.64,76.0
The Revenant,Drama,8.0,183.64,76.0
The Revenant,Thriller,8.0,183.64,76.0
Fences,Drama,7.3,57.64,79.0
Into the Woods,Adventure,6.0,128.0,69.0
Into the Woods,Comedy,6.0,128.0,69.0
Into the Woods,Drama,6.0,128.0,69.0
The Shallows,Drama,6.4,55.12,59.0
The Shallows,Horror,6.4,55.12,59.0
The Shallows,Thriller,6.4,55.12,59.0
Whiplash,Drama,8.5,13.09,88.0
Whiplash,Music,8.5,13.09,88.0
Furious 6,Action,7.1,238.67,61.0
Furious 6,Crime,7.1,238.67,61.0
Furious 6,Thriller,7.1,238.67,61.0
The Place Beyond the Pines,Crime,7.3,21.38,68.0
The Place Beyond the Pines,Drama,7.3,21.38,68.0
The Place Beyond the Pines,Thriller,7.3,21.38,68.0
No Country for Old Men,Crime,8.1,74.27,91.0
No Country for Old Men,Drama,8.1,74.27,91.0
No Country for Old Men,Thriller,8.1,74.27,91.0
The Great Gatsby,Drama,7.3,144.81,55.0
The Great Gatsby,Romance,7.3,144.81,55.0
Shutter Island,Mystery,8.1,127.97,63.0
Shutter Island,Thriller,8.1,127.97,63.0
Brimstone,Mystery,7.1,47.985,44.0
Brimstone,Thriller,7.1,47.985,44.0
Brimstone,Western,7.1,47.985,44.0
Star Trek,Action,8.0,257.7,82.0
Star Trek,Adventure,8.0,257.7,82.0
Star Trek,Sci-Fi,8.0,257.7,82.0
Diary of a Wimpy Kid,Comedy,6.2,64.0,56.0
Diary of a Wimpy Kid,Family,6.2,64.0,56.0
The Big Short,Biography,7.8,70.24,81.0
The Big Short,Comedy,7.8,70.24,81.0
The Big Short,Drama,7.8,70.24,81.0
Room,Drama,8.2,14.68,86.0
Django Unchained,Drama,8.4,162.8,81.0
Django Unchained,Western,8.4,162.8,81.0
Ah-ga-ssi,Drama,8.1,2.01,84.0
Ah-ga-ssi,Mystery,8.1,2.01,84.0
Ah-ga-ssi,Romance,8.1,2.01,84.0
The Edge of Seventeen,Comedy,7.4,14.26,77.0
The Edge of Seventeen,Drama,7.4,14.26,77.0
Watchmen,Action,7.6,107.5,56.0
Watchmen,Drama,7.6,107.5,56.0
Watchmen,Mystery,7.6,107.5,56.0
Superbad,Comedy,7.6,121.46,76.0
Inferno,Action,6.2,34.26,42.0
Inferno,Adventure,6.2,34.26,42.0
Inferno,Crime,6.2,34.26,42.0
The BFG,Adventure,6.4,55.47,66.0
The BFG,Family,6.4,55.47,66.0
The BFG,Fantasy,6.4,55.47,66.0
The Hunger Games,Adventure,7.2,408.0,68.0
The Hunger Games,Sci-Fi,7.2,408.0,68.0
The Hunger Games,Thriller,7.2,408.0,68.0
White Girl,Drama,5.8,0.2,65.0
Sicario,Action,7.6,46.88,82.0
Sicario,Crime,7.6,46.88,82.0
Sicario,Drama,7.6,46.88,82.0
Twin Peaks: The Missing Pieces,Drama,8.1,47.985,59.5
Twin Peaks: The Missing Pieces,Horror,8.1,47.985,59.5
Twin Peaks: The Missing Pieces,Mystery,8.1,47.985,59.5
Aliens vs Predator - Requiem,Action,4.7,41.8,29.0
Aliens vs Predator - Requiem,Horror,4.7,41.8,29.0
Aliens vs Predator - Requiem,Sci-Fi,4.7,41.8,29.0
Pacific Rim,Action,7.0,101.79,64.0
Pacific Rim,Adventure,7.0,101.79,64.0
Pacific Rim,Sci-Fi,7.0,101.79,64.0
"Crazy, Stupid, Love.",Comedy,7.4,84.24,68.0
"Crazy, Stupid, Love.",Drama,7.4,84.24,68.0
"Crazy, Stupid, Love.",Romance,7.4,84.24,68.0
Scott Pilgrim vs. the World,Action,7.5,31.49,69.0
Scott Pilgrim vs. the World,Comedy,7.5,31.49,69.0
Scott Pilgrim vs. the World,Fantasy,7.5,31.49,69.0
Hot Fuzz,Action,7.9,23.62,81.0
Hot Fuzz,Comedy,7.9,23.62,81.0
Hot Fuzz,Mystery,7.9,23.62,81.0
Mine,Thriller,6.0,47.985,40.0
Mine,War,6.0,47.985,40.0
Free Fire,Action,7.0,1.8,63.0
Free Fire,Comedy,7.0,1.8,63.0
Free Fire,Crime,7.0,1.8,63.0
X-Men: Days of Future Past,Action,8.0,233.91,74.0
X-Men: Days of Future Past,Adventure,8.0,233.91,74.0
X-Men: Days of Future Past,Sci-Fi,8.0,233.91,74.0
Jack Reacher: Never Go Back,Action,6.1,58.4,47.0
Jack Reacher: Never Go Back,Adventure,6.1,58.4,47.0
Jack Reacher: Never Go Back,Crime,6.1,58.4,47.0
Casino Royale,Action,8.0,167.01,80.0
Casino Royale,Adventure,8.0,167.01,80.0
Casino Royale,Thriller,8.0,167.01,80.0
Twilight,Drama,5.2,191.45,56.0
Twilight,Fantasy,5.2,191.45,56.0
Twilight,Romance,5.2,191.45,56.0
Now You See Me 2,Action,6.5,65.03,46.0
Now You See Me 2,Adventure,6.5,65.03,46.0
Now You See Me 2,Comedy,6.5,65.03,46.0
Woman in Gold,Biography,7.3,33.31,51.0
Woman in Gold,Drama,7.3,33.31,51.0
Woman in Gold,History,7.3,33.31,51.0
13 Hours,Action,7.3,52.82,48.0
13 Hours,Drama,7.3,52.82,48.0
13 Hours,History,7.3,52.82,48.0
Spectre,Action,6.8,200.07,60.0
Spectre,Adventure,6.8,200.07,60.0
Spectre,Thriller,6.8,200.07,60.0
Nightcrawler,Crime,7.9,32.28,76.0
Nightcrawler,Drama,7.9,32.28,76.0
Nightcrawler,Thriller,7.9,32.28,76.0
Kubo and the Two Strings,Animation,7.9,48.02,84.0
Kubo and the Two Strings,Adventure,7.9,48.02,84.0
Kubo and the Two Strings,Family,7.9,48.02,84.0
Beyond the Gates,Adventure,5.2,47.985,59.0
Beyond the Gates,Horror,5.2,47.985,59.0
Her,Drama,8.0,25.56,90.0
Her,Romance,8.0,25.56,90.0
Her,Sci-Fi,8.0,25.56,90.0
Frozen,Animation,7.5,400.74,74.0
Frozen,Adventure,7.5,400.74,74.0
Frozen,Comedy,7.5,400.74,74.0
Tomorrowland,Action,6.5,93.42,60.0
Tomorrowland,Adventure,6.5,93.42,60.0
Tomorrowland,Family,6.5,93.42,60.0
Dawn of the Planet of the Apes,Action,7.6,208.54,79.0
Dawn of the Planet of the Apes,Adventure,7.6,208.54,79.0
Dawn of the Planet of the Apes,Drama,7.6,208.54,79.0
Tropic Thunder,Action,7.0,110.42,71.0
Tropic Thunder,Comedy,7.0,110.42,71.0
The Conjuring 2,Horror,7.4,102.46,65.0
The Conjuring 2,Mystery,7.4,102.46,65.0
The Conjuring 2,Thriller,7.4,102.46,65.0
Ant-Man,Action,7.3,180.19,64.0
Ant-Man,Adventure,7.3,180.19,64.0
Ant-Man,Comedy,7.3,180.19,64.0
Bridget Jones's Baby,Comedy,6.7,24.09,59.0
Bridget Jones's Baby,Romance,6.7,24.09,59.0
The VVitch: A New-England Folktale,Horror,6.8,25.14,83.0
The VVitch: A New-England Folktale,Mystery,6.8,25.14,83.0
Cinderella,Drama,7.0,201.15,67.0
Cinderella,Family,7.0,201.15,67.0
Cinderella,Fantasy,7.0,201.15,67.0
Realive,Sci-Fi,5.9,47.985,59.5
Forushande,Drama,8.0,3.4,85.0
Forushande,Thriller,8.0,3.4,85.0
Love,Drama,6.0,47.985,51.0
Love,Romance,6.0,47.985,51.0
Billy Lynn's Long Halftime Walk,Drama,6.3,1.72,53.0
Billy Lynn's Long Halftime Walk,War,6.3,1.72,53.0
Crimson Peak,Drama,6.6,31.06,66.0
Crimson Peak,Fantasy,6.6,31.06,66.0
Crimson Peak,Horror,6.6,31.06,66.0
Drive,Crime,7.8,35.05,78.0
Drive,Drama,7.8,35.05,78.0
Trainwreck,Comedy,6.3,110.01,75.0
Trainwreck,Drama,6.3,110.01,75.0
Trainwreck,Romance,6.3,110.01,75.0
The Light Between Oceans,Drama,7.2,12.53,60.0
The Light Between Oceans,Romance,7.2,12.53,60.0
Below Her Mouth,Drama,5.6,47.985,42.0
Spotlight,Crime,8.1,44.99,93.0
Spotlight,Drama,8.1,44.99,93.0
Spotlight,History,8.1,44.99,93.0
Morgan,Horror,5.8,3.91,48.0
Morgan,Sci-Fi,5.8,3.91,48.0
Morgan,Thriller,5.8,3.91,48.0
Warrior,Action,8.2,13.65,71.0
Warrior,Drama,8.2,13.65,71.0
Warrior,Sport,8.2,13.65,71.0
Captain America: The First Avenger,Action,6.9,176.64,66.0
Captain America: The First Avenger,Adventure,6.9,176.64,66.0
Captain America: The First Avenger,Sci-Fi,6.9,176.64,66.0
Hacker,Crime,6.3,47.985,59.5
Hacker,Drama,6.3,47.985,59.5
Hacker,Thriller,6.3,47.985,59.5
Into the Wild,Adventure,8.1,18.35,73.0
Into the Wild,Biography,8.1,18.35,73.0
Into the Wild,Drama,8.1,18.35,73.0
The Imitation Game,Biography,8.1,91.12,73.0
The Imitation Game,Drama,8.1,91.12,73.0
The Imitation Game,Thriller,8.1,91.12,73.0
Central Intelligence,Action,6.3,127.38,52.0
Central Intelligence,Comedy,6.3,127.38,52.0
Central Intelligence,Crime,6.3,127.38,52.0
Edge of Tomorrow,Action,7.9,100.19,71.0
Edge of Tomorrow,Adventure,7.9,100.19,71.0
Edge of Tomorrow,Sci-Fi,7.9,100.19,71.0
A Cure for Wellness,Drama,6.5,8.1,47.0
A Cure for Wellness,Fantasy,6.5,8.1,47.0
A Cure for Wellness,Horror,6.5,8.1,47.0
Snowden,Biography,7.3,21.48,58.0
Snowden,Drama,7.3,21.48,58.0
Snowden,Thriller,7.3,21.48,58.0
Iron Man,Action,7.9,318.3,79.0
Iron Man,Adventure,7.9,318.3,79.0
Iron Man,Sci-Fi,7.9,318.3,79.0
Allegiant,Action,5.7,66.0,33.0
Allegiant,Adventure,5.7,66.0,33.0
Allegiant,Mystery,5.7,66.0,33.0
X: First Class,Action,7.8,146.41,65.0
X: First Class,Adventure,7.8,146.41,65.0
X: First Class,Sci-Fi,7.8,146.41,65.0
Raw (II),Drama,7.5,0.51,81.0
Raw (II),Horror,7.5,0.51,81.0
Paterson,Comedy,7.5,2.14,90.0
Paterson,Drama,7.5,2.14,90.0
Paterson,Romance,7.5,2.14,90.0
Bridesmaids,Comedy,6.8,169.08,75.0
Bridesmaids,Romance,6.8,169.08,75.0
The Girl with All the Gifts,Drama,6.7,47.985,67.0
The Girl with All the Gifts,Horror,6.7,47.985,67.0
The Girl with All the Gifts,Thriller,6.7,47.985,67.0
San Andreas,Action,6.1,155.18,43.0
San Andreas,Adventure,6.1,155.18,43.0
San Andreas,Drama,6.1,155.18,43.0
Spring Breakers,Drama,5.3,14.12,63.0
Transformers,Action,7.1,318.76,61.0
Transformers,Adventure,7.1,318.76,61.0
Transformers,Sci-Fi,7.1,318.76,61.0
Old Boy,Action,5.8,47.985,49.0
Old Boy,Drama,5.8,47.985,49.0
Old Boy,Mystery,5.8,47.985,49.0
